cmname,price
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",249.09
"Meat (beef, chops with bones) - Retail",264.86
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",270
"Meat (beef, chops with bones) - Retail",286.62
"Meat (beef, chops with bones) - Retail",300
"Meat (beef, chops with bones) - Retail",300
"Meat (beef, chops with bones) - Retail",300
"Meat (beef, chops with bones) - Retail",300
"Meat (beef, chops with bones) - Retail",300
"Meat (beef, chops with bones) - Retail",300
"Meat (beef, chops with bones) - Retail",300
"Meat (beef, chops with bones) - Retail",206.33
"Meat (beef, chops with bones) - Retail",298.46
"Meat (beef, chops with bones) - Retail",300
"Meat (beef, chops with bones) - Retail",300
"Meat (chicken, whole) - Retail",140
"Meat (chicken, whole) - Retail",140
"Meat (chicken, whole) - Retail",142.36
"Meat (chicken, whole) - Retail",142.91
"Meat (chicken, whole) - Retail",142
"Meat (chicken, whole) - Retail",142
"Meat (chicken, whole) - Retail",154.77
"Meat (chicken, whole) - Retail",157.82
"Meat (chicken, whole) - Retail",157.64
"Meat (chicken, whole) - Retail",162.54
"Meat (chicken, whole) - Retail",170
"Meat (chicken, whole) - Retail",173.4
"Meat (chicken, whole) - Retail",159
"Meat (chicken, whole) - Retail",160
"Meat (chicken, whole) - Retail",158.57
"Meat (chicken, whole) - Retail",156.17
"Meat (chicken, whole) - Retail",155.85
"Meat (chicken, whole) - Retail",156
"Meat (chicken, whole) - Retail",156
"Meat (chicken, whole) - Retail",156
"Meat (chicken, whole) - Retail",155.85
"Meat (chicken, whole) - Retail",156.17
"Meat (chicken, whole) - Retail",156
"Meat (chicken, whole) - Retail",155.83
"Meat (chicken, whole) - Retail",156
"Meat (chicken, whole) - Retail",155.85
"Meat (chicken, whole) - Retail",156
"Meat (chicken, whole) - Retail",156
"Meat (chicken, whole) - Retail",156
"Meat (chicken, whole) - Retail",156
